id:0, idSourceVertex:0, idDestinationVertex:1
id:1, idSourceVertex:1, idDestinationVertex:2
id:2, idSourceVertex:2, idDestinationVertex:3
id:3, idSourceVertex:3, idDestinationVertex:4
id:4, idSourceVertex:4, idDestinationVertex:5
id:5, idSourceVertex:5, idDestinationVertex:6
id:6, idSourceVertex:6, idDestinationVertex:7
id:7, idSourceVertex:7, idDestinationVertex:0
id:8, idSourceVertex:4, idDestinationVertex:9
id:9, idSourceVertex:9, idDestinationVertex:8
id: 10, idSourceVertex:9, idDestinationVertex: 10
id: 11, idSourceVertex:9, idDestinationVertex: 11
id: 12, idSourceVertex: 11, idDestinationVertex: 12
id: 13, idSourceVertex: 11, idDestinationVertex: 13
